Time,NVMe_from_ceph,NVMe_from_transfer,NVMe_total_util,CPU,CPU_count,Goodput,Memory_total,Memory_used,NIC_speed,Packet_losses,Storage_count,network_throughput,num_workers,,
14:53.7,0,1503059.137,0.012867525,1.490899393,12,0,8589934592,36069376,1E+11,0.600040003,8,417111.8075,100,,
15:08.7,0,549793730,1.036864209,2.333044464,12,716492404,8589934592,475918336,1E+11,26.53156456,8,532477055.3,100,,5528148413
15:23.7,0,527306134,1.159143943,2.386292419,12,601035298.1,8589934592,475918336,1E+11,33.60224015,8,552883480.4,100,,4148132261
15:38.7,0,1040239275,2.4978,3.449333333,12,1014442803,8589934592,474705920,1E+11,55.93333333,8,1060853823,100,,3249076157
15:53.7,0,945585661.4,2.349281028,3.244847923,12,925309178.3,8589934592,474705920,1E+11,56.85507919,8,960574901.7,100,,3150952711
16:08.7,0,818129364,2.104768932,3.046616138,12,801410178.2,8589934592,474705920,1E+11,48.76249245,8,817772256.9,100,,3046073766
16:23.7,0,867398787.8,2.268582095,3.156322912,12,666920004.3,8589934592,475430912,1E+11,48.93007133,8,865246059.9,100,,2351847900
16:38.7,0,679112649.1,1.763917595,2.776985132,12,907981585.1,8589934592,471347200,1E+11,39.20261351,8,691418600.2,100,,4118022692
16:53.7,0,967482295,2.54230513,3.312458361,12,892584778.1,8589934592,471347200,1E+11,52.5649567,8,958372221.5,100,,2808741618
17:08.7,0,894757774.9,2.31727707,3.141321656,12,853052859.7,8589934592,474488832,1E+11,51.68524416,8,913071328.3,100,,2945018084
17:23.7,0,822811695.2,2.243246866,3.226221597,12,1119391744,8589934592,474488832,1E+11,36.19545546,8,766449678.9,100,,3992041218
17:38.7,0,2657456674,5.179533333,5.613333333,12,2235227535,8589934592,492777472,1E+11,45.8,8,2335523552,100,,3452399884
17:53.7,0,2748456414,4.365733333,4.878666667,12,2519385395,8589934592,492777472,1E+11,867.8666667,8,2877690076,100,,4616654665
18:08.7,0,2099224426,4.415783196,4.950039756,12,2769904192,8589934592,491745280,1E+11,37.10575139,8,2141810570,100,,5018188745
18:23.7,0,2475882662,4.626148789,5.063795532,12,1921689346,8589934592,491884544,1E+11,65.53967935,8,2372121748,100,,3323177759
18:38.7,0,2470518742,4.778548097,5.140190654,12,2986825374,8589934592,491884544,1E+11,40.13065796,8,2701061175,100,,5000389765
18:53.7,0,2728723797,5.363666667,5.682,12,2346031702,8589934592,491884544,1E+11,67.26666667,8,2592167005,100,,3499146160
19:08.7,0,3063027849,4.9938,5.465333333,12,3595135548,8589934592,489639936,1E+11,31.06666667,8,3184720694,100,,5759358481
19:23.7,0,2029503232,4.350858583,4.866671087,12,1705351373,8589934592,489639936,1E+11,46.87396407,8,1930266842,100,,3135659485
19:38.7,0,2951915473,5.228881738,5.52614642,12,2939025271,8589934592,489832448,1E+11,49.67819791,8,2963215999,100,,4496602400
19:53.7,0,1876550178,4.098733333,4.564666667,12,1249553340,8589934592,491671552,1E+11,51.53333333,8,1982071665,100,,2438906341
20:08.7,0,2593927987,4.6246,5.137333333,12,3369766093,8589934592,491671552,1E+11,34.26666667,8,2656887583,100,,5829288748
20:23.7,0,2062866670,4.387040864,4.859542697,12,2245982300,8589934592,491671552,1E+11,49.53003133,8,2004415674,100,,4095666978
20:38.7,0,2981309566,5.315043075,5.656063618,12,2882833552,8589934592,490512384,1E+11,43.20742213,8,3099649039,100,,4339131046
20:53.7,0,2086257354,4.37444668,4.839034205,12,1473635485,8589934592,490512384,1E+11,43.93024816,8,1971420282,100,,2694988588
21:08.7,0,2208118017,3.468358624,4.218275794,12,2353684961,8589934592,488677376,1E+11,1380.624213,8,2287094001,100,,5428931009
21:23.7,0,1156932345,3.189898041,3.79889992,12,1290649054,8589934592,488677376,1E+11,7880.869332,8,1411400287,100,,3236840895
21:38.7,0,580847399.5,1.907903461,2.695663705,12,510473762.1,8589934592,477552640,1E+11,2486.672855,8,743941994.1,100,,2140459505
21:53.7,0,430256535.2,1.474093438,2.279107179,12,410007415.5,8589934592,477552640,1E+11,536.9662846,8,423567179.2,100,,2225136643
22:08.7,0,364717135.8,1.252616841,2.150276685,12,384253030.4,8589934592,476033024,1E+11,1694.846323,8,413978417,100,,2454081841
22:23.7,0,329620684.8,1.1462,2.068666667,12,346662602.2,8589934592,476033024,1E+11,130.2,8,299609992.4,100,,2419561000
22:38.7,0,271492479.1,0.916016797,1.977204559,12,274490830.3,8589934592,472911872,1E+11,208.291675,8,310484129.1,100,,2397255870
22:53.7,0,270263076.6,0.906714676,1.873441355,12,232606315.1,8589934592,472911872,1E+11,216.9767287,8,262903411,100,,2052299990
23:08.7,0,229606468.3,0.798666667,1.953333333,12,298768880.1,8589934592,473464832,1E+11,571,8,276873245.8,100,,2992676595
23:23.7,0,451997054.1,1.479634691,2.279048063,12,361680896,8589934592,473464832,1E+11,1774.681688,8,416833610.1,100,,1955514551
23:38.7,0,220923767.5,0.755733333,1.846666667,12,191910673.1,8589934592,472133632,1E+11,1510.666667,8,254136557.1,100,,2031517358
23:53.7,0,312922220.4,1.017667845,2.109607307,12,454975488,8589934592,472133632,1E+11,402.6935129,8,300459730,100,,3576612864
24:08.7,0,525119041,1.709057154,2.447022941,12,444574071.5,8589934592,472457216,1E+11,2399.880652,8,593873545.6,100,,2081026116
24:23.7,0,259518760.2,0.895167236,1.930558348,12,321266519.1,8589934592,472457216,1E+11,256.2504189,8,258812159.1,100,,2871119550
24:38.7,0,232526370.1,0.8108,1.939333333,12,195258836.6,8589934592,472457216,1E+11,1365.866667,8,245306385.4,100,,1926579543
24:53.7,0,232150903.5,0.828,1.900666667,12,207483426.1,8589934592,474206208,1E+11,1107.8,8,265451475.1,100,,2004670784
